,車站種類,車站編號,車站名稱,村里數量,納稅單位,綜合所得總額,所得平均,戶數,人口,男性人口,女性人口,0-14歲人口,15-64歲人口,65歲以上人口,15-19歲人口,20-24歲人口,25-29歲人口,30-34歲人口,35-39歲人口,40-44歲人口,45-49歲人口,50-54歲人口,55-59歲人口,60-64歲人口,博士人口,碩士人口,大學院校人口,專科人口,高中職人口,國中初職人口,小學人口,不識字人口,未婚人口,有偶人口,出生數,死亡數,遷入人口,遷出人口
95,tp_mrt,LG14,台北捷運溪州站,65,32747.0,2776152.0,1880.0,42676.0,115257.0,56888.0,58375.0,14808.0,86709.0,13747.0,6258.0,7811.0,8628.0,8416.0,10265.0,10127.0,8567.0,8824.0,9338.0,8469.0,375.0,5553.0,27477.0,11952.0,31494.0,13744.0,9191.0,508.0,51398.0,49228.0,892.0,652.0,4432.0,4422.0
96,tp_mrt,LG15,台北捷運彭福站,53,26750.0,2237239.0,1519.0,35119.0,94951.0,47078.0,47877.0,12277.0,71249.0,11434.0,5254.0,6433.0,7054.0,6805.0,8428.0,8450.0,7213.0,7243.0,7564.0,6807.0,289.0,4327.0,22084.0,9720.0,26546.0,11336.0,7798.0,440.0,42280.0,40391.0,727.0,554.0,3707.0,3664.0
97,tp_mrt,LG16,台北捷運育林國小站,50,24462.0,2040177.0,1423.0,31210.0,86164.0,42682.0,43484.0,11401.0,64741.0,10030.0,4865.0,5916.0,6495.0,6280.0,7778.0,7622.0,6408.0,6485.0,6760.0,6129.0,255.0,3861.0,20121.0,8762.0,24046.0,10296.0,6947.0,365.0,38643.0,36796.0,665.0,470.0,3291.0,3302.0
98,tp_mrt,LG17,台北捷運樹人家商站,65,30389.0,2484078.0,1813.0,39144.0,108081.0,53422.0,54666.0,14189.0,81175.0,12727.0,6066.0,7342.0,8176.0,8014.0,9895.0,9555.0,7870.0,7985.0,8473.0,7791.0,309.0,4664.0,25022.0,10825.0,30196.0,13432.0,8842.0,471.0,48544.0,45987.0,837.0,592.0,4136.0,4208.0
99,tp_mrt,LG18,台北捷運潭底站,89,43461.0,3554584.0,2476.0,56167.0,152424.0,75040.0,77390.0,19918.0,114733.0,17784.0,8245.0,10114.0,11533.0,11652.0,14408.0,13740.0,10994.0,11013.0,11860.0,11171.0,461.0,6912.0,35957.0,15359.0,41801.0,19082.0,12093.0,669.0,68188.0,65170.0,1220.0,808.0,5931.0,5771.0
100,tp_mrt,LG19,台北捷運監理所站,73,35510.0,2870786.0,2013.0,45661.0,124897.0,61547.0,63356.0,16753.0,94074.0,14082.0,6913.0,8370.0,9499.0,9525.0,11806.0,11388.0,9024.0,8996.0,9607.0,8943.0,350.0,5379.0,29256.0,12484.0,34638.0,15752.0,9634.0,530.0,56217.0,53258.0,1003.0,646.0,4853.0,4791.0
101,tp_mrt,LG20,台北捷運三角埔站,55,26401.0,2111852.0,1496.0,33739.0,92032.0,45385.0,46650.0,12297.0,69395.0,10345.0,5029.0,6175.0,7098.0,7160.0,8732.0,8266.0,6516.0,6602.0,7173.0,6648.0,269.0,3891.0,21528.0,9043.0,25555.0,12047.0,6957.0,377.0,41448.0,39240.0,753.0,457.0,3584.0,3584.0
102,tp_mrt,LG21,台北捷運迴龍站,51,25093.0,2005275.0,1382.0,32315.0,87083.0,42870.0,44216.0,11713.0,65898.0,9473.0,4707.0,5801.0,6705.0,6799.0,8443.0,7992.0,6257.0,6253.0,6721.0,6226.0,266.0,3706.0,20466.0,8627.0,24084.0,11462.0,6351.0,343.0,39180.0,37138.0,733.0,418.0,3640.0,3444.0
103,tp_mrt,O01,台北捷運南勢角站,143,64051.0,6388790.0,4870.0,86232.0,209404.0,100213.0,109194.0,23016.0,149757.0,36640.0,9854.0,12056.0,13054.0,13136.0,16493.0,17800.0,16832.0,16813.0,17145.0,16585.0,1523.0,15712.0,59523.0,25710.0,51809.0,17287.0,13659.0,881.0,88884.0,92177.0,1282.0,1419.0,9445.0,9419.0
104,tp_mrt,O02,台北捷運景安站,151,66675.0,6559260.0,5089.0,90315.0,219632.0,105375.0,114262.0,24040.0,157491.0,38112.0,10359.0,12624.0,13742.0,13884.0,17563.0,18860.0,17632.0,17510.0,17961.0,17368.0,1514.0,15965.0,61556.0,26849.0,54848.0,18764.0,14837.0,965.0,93221.0,96450.0,1375.0,1490.0,9959.0,9882.0
105,tp_mrt,O03,台北捷運永安市場站,184,85809.0,8966678.0,6510.0,114820.0,278055.0,133104.0,144955.0,32112.0,195790.0,50164.0,12764.0,15508.0,16795.0,17370.0,22358.0,23526.0,21824.0,21857.0,22301.0,21496.0,2801.0,23458.0,80262.0,33236.0,65034.0,21293.0,18231.0,1209.0,117610.0,123356.0,1836.0,1947.0,13547.0,13913.0
106,tp_mrt,O04,台北捷運頂溪站,184,93342.0,10749762.0,7051.0,122485.0,297974.0,142380.0,155598.0,38465.0,204656.0,54861.0,13580.0,15934.0,17003.0,17962.0,23795.0,25316.0,23061.0,22690.0,23014.0,22310.0,3998.0,29036.0,88130.0,34197.0,64072.0,20155.0,18247.0,1212.0,126986.0,132943.0,2049.0,2095.0,15621.0,16589.0
107,tp_mrt,O05,台北捷運古亭站,167,89522.0,11456081.0,7096.0,114097.0,273839.0,130055.0,143786.0,36752.0,183517.0,53574.0,12177.0,14037.0,14893.0,16079.0,21673.0,22634.0,20388.0,20448.0,20826.0,20385.0,4583.0,30497.0,85621.0,30492.0,53813.0,16023.0,14703.0,954.0,116224.0,123316.0,1960.0,2009.0,15404.0,16839.0
108,tp_mrt,O06,台北捷運東門站,158,92311.0,12588133.0,7250.0,113409.0,271238.0,127588.0,143655.0,38257.0,178943.0,54038.0,11770.0,13336.0,14130.0,15681.0,21678.0,22503.0,19857.0,19860.0,20192.0,19966.0,4924.0,32512.0,88323.0,29796.0,49650.0,13904.0,12756.0,765.0,115197.0,123343.0,2061.0,1961.0,16053.0,17620.0
109,tp_mrt,O07,台北捷運忠孝新生站,151,99462.0,13909745.0,7321.0,119811.0,288244.0,134864.0,153390.0,41891.0,189609.0,56746.0,12519.0,13945.0,14763.0,16750.0,23264.0,24206.0,21400.0,20870.0,20967.0,20964.0,5231.0,35396.0,96154.0,31707.0,51077.0,13475.0,12355.0,638.0,123083.0,131965.0,2230.0,1975.0,17181.0,19192.0
110,tp_mrt,O08,台北捷運松江南京站,125,82872.0,11556936.0,5986.0,99874.0,241128.0,113065.0,128072.0,34737.0,159002.0,47397.0,10472.0,11713.0,12395.0,14067.0,19474.0,20221.0,17868.0,17554.0,17689.0,17580.0,3829.0,28035.0,79321.0,26906.0,44420.0,11954.0,11087.0,561.0,103158.0,109721.0,1885.0,1684.0,13822.0,15893.0
111,tp_mrt,O09,台北捷運行天宮站,109,71716.0,9603347.0,5009.0,86918.0,208225.0,97811.0,110420.0,28740.0,138780.0,40708.0,8910.0,10225.0,11019.0,12586.0,17126.0,17309.0,15345.0,15267.0,15558.0,15461.0,2934.0,22852.0,67659.0,23740.0,39939.0,11079.0,10499.0,519.0,88851.0,94469.0,1649.0,1460.0,11652.0,13575.0
